trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Silver Summit Neighborhood Path,"1.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7015430/silver-summit-neighborhood-path,"Snyderville, UT",#714,3.0 (1),Park City Municipal,http://parkcity.org/,,,15',78',1%,5%,"6,508'","6,439'",Unknown,Unknown
Observation Point Trail,"1.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7019952/observation-point-trail,"Junction, UT",#715,3.0 (1),Eagle Point Ski Resort,http://www.eaglepointresort.com/,,,170',182',6%,17%,"10,325'","10,143'",Off-leash,Unknown
Bull Run Connector,"0.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7029979/bull-run-connector,"Moab, UT",#716,3.0 (1),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,116',8',3%,7%,"5,473'","5,364'",Leashed,Unknown
Sunrise Drive,"1.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7043766/sunrise-drive,"Summit Park, UT",#717,3.0 (1),,,,,611',6',8%,21%,"7,639'","7,028'",Unknown,Unknown
Forest Road 0041,"9.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5933895/forest-road-0041,"Orangeville, UT",#718,3.0 (1),,,,,202',"2,005'",5%,14%,"9,022'","7,038'",Unknown,Allowed
Trail 51,"2.0
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7044991/trail-51,"Lindon, UT",#719,3.0 (1),,,,,534',221',7%,16%,"6,556'","6,082'",Unknown,Unknown
Ruby Rim B Loop 33072B,"0.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7056651/ruby-rim-b-loop-33072b,"Panguitch, UT",#720,3.0 (1),,,,,49',51',2%,7%,"7,768'","7,719'",Unknown,Unknown
La Dee Duh,"0.9
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7004379/la-dee-duh,"Park City, UT",#721,3.0 (1),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Park City Municipal,http://parkcity.org/,57',15',2%,4%,"6,880'","6,827'",Leashed,Unknown
Blind Hollow Trail,"3.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7001119/blind-hollow-trail,"Smithfield, UT",#722,3.0 (1),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,0',"1,883'",10%,22%,"7,666'","5,783'",Unknown,Unknown
7-Up to Rocky Tops Connector,"0.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7031944/7-up-to-rocky-tops-connector,"Moab, UT",#723,3.0 (1),,,,,79',22',4%,15%,"5,122'","5,043'",Leashed,Unknown
Hi Hunt #228 (Big Flat to Three Creeks),"2.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7029276/hi-hunt-228-big-flat-to-three-creeks,"Junction, UT",#724,3.0 (1),USFS - Fishlake National Forest Office,http://www.fs.usda.gov/fishlake,,,54',"1,220'",9%,32%,"10,074'","8,859'",Off-leash,Unknown
Bovine,"1.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7041110/bovine,"Ephraim, UT",#725,3.0 (1),,,,,31',585',8%,35%,"8,429'","7,861'",Unknown,Unknown
Betty,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7044989/betty,"Orem, UT",#726,3.0 (1),,,,,567',0',9%,19%,"6,111'","5,544'",Off-leash,Unknown
Red ATV Trail #8,"0.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7041102/red-atv-trail-8,"Cedar City, UT",#727,3.0 (1),,,,,234',20',7%,14%,"6,415'","6,181'",Unknown,Unknown
Lousy Jim Creek Trail #163,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7030655/lousy-jim-creek-trail-163,"Beaver, UT",#728,3.0 (1),,,,,0',509',8%,10%,"9,412'","8,903'",Off-leash,Unknown
Slickrock Spur Trail,"0.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7047872/slickrock-spur-trail,"Moab, UT",#729,3.0 (1),,,,,29',5',2%,13%,"4,626'","4,597'",Unknown,Allowed
Sidestep (South),"0.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7025691/sidestep-south,"Moab, UT",#730,3.0 (1),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,,,75',133',6%,11%,"4,965'","4,833'",Leashed,Not Allowed
FR 81,"4.4
    mi",EASY,https://www.mtbproject.com/trail/7001779/fr-81,"Parowan, UT",#731,3.0 (1),USFS - Dixie National Forest Office,http://www.fs.usda.gov/dixie,,,120',869',4%,9%,"9,143'","8,366'",Leashed,Unknown
Dalton Well (Bushy Basin) Connector,"0.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/230416/dalton-well-bushy-basin-connector,"Moab, UT",#732,3.0 (1),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,State of Utah School and Institutional Trust Lands Administration,https://trustlands.utah.gov/,16',0',0%,1%,"4,421'","4,405'",Leashed,Allowed
Backslide,"0.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7001689/backslide,"Snyderville, UT",#733,3.0 (1),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Park City Municipal,http://parkcity.org/,126',192',6%,16%,"7,047'","6,858'",Off-leash,Unknown
Old Trench Road #181,"2.1
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7015742/old-trench-road-181,"Midway, UT",#734,3.0 (1),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,77',861',9%,39%,"9,467'","8,683'",Unknown,Allowed
High Grade,"0.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7056648/high-grade,"Leeds, UT",#735,3.0 (1),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,85',15',4%,13%,"3,125'","3,042'",Unknown,Unknown
Ben's Switchbacks,"0.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7009637/bens-switchbacks,"Carbonville, UT",#736,3.0 (1),BLM Utah-Price Field Office,http://www.blm.gov/ut/st/en/fo/price.html,,,191',0',7%,14%,"6,278'","6,088'",Unknown,Unknown
Crank,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7045009/crank,"Lindon, UT",#737,3.0 (1),,,,,467',10',8%,15%,"6,176'","5,719'",Unknown,Unknown
Mouse Climb,"0.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7044990/mouse-climb,"Lindon, UT",#738,3.0 (1),,,,,0',390',10%,26%,"6,108'","5,718'",Unknown,Unknown
Fox Tail,"0.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7055326/fox-tail,"Park City, UT",#739,3.0 (1),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,125',110',6%,13%,"7,191'","7,089'",Unknown,Not Allowed
Buckle,"0.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7045015/buckle,"Lindon, UT",#740,3.0 (1),,,,,213',9',5%,19%,"6,337'","6,133'",Unknown,Unknown
Maid Marian,"1.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7044995/maid-marian,"Lindon, UT",#741,3.0 (1),,,,,167',207',5%,13%,"6,607'","6,409'",Unknown,Unknown
Frank Young Canyon Trail #97,"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7055053/frank-young-canyon-trail-97,"Woodland Hills, UT",#742,3.0 (1),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,0',295',4%,10%,"8,465'","8,170'",Off-leash,Allowed
Blackbird,"0.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7045005/blackbird,"Lindon, UT",#743,3.0 (1),,,,,34',108',4%,9%,"5,752'","5,644'",Unknown,Unknown
West Ridge,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7045018/west-ridge,"Lindon, UT",#744,3.0 (1),,,,,443',45',8%,19%,"6,331'","5,933'",Unknown,Unknown
Hidden Oak Trail (Lower),"0.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7056048/hidden-oak-trail-lower,"Salem, UT",#745,3.0 (1),,,,,133',0',9%,39%,"5,408'","5,275'",Unknown,Unknown
Prayer Circle,"0.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7044998/prayer-circle,"Lindon, UT",#746,3.0 (1),,,,,150',40',6%,12%,"6,589'","6,449'",Unknown,Unknown
Rawhide,"0.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7057830/rawhide,"Herriman, UT",#747,3.0 (1),,,,,187',0',7%,11%,"6,222'","6,035'",Unknown,Unknown
411,"0.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7057824/411,"Eagle Mountain, UT",#748,3.0 (1),,,,,138',2',6%,10%,"5,604'","5,467'",Unknown,Unknown
The Water's Way Out,"1.4
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7057229/the-waters-way-out,"Moab, UT",#749,3.0 (1),,,,,86',23',2%,5%,"5,327'","5,245'",Off-leash,Allowed
Mesa Road,"5.2
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7008909/mesa-road,"Springdale, UT",#750,2.7 (6),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,297',165',2%,5%,"5,080'","4,812'",Off-leash,Unknown
Lakeside Trail,"2.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7001874/lakeside-trail,"Syracuse, UT",#751,2.7 (6),Utah State Parks,http://stateparks.utah.gov/,,,103',110',1%,6%,"4,281'","4,216'",Unknown,Allowed
Behind the Rocks Road,"14.5
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/351104/behind-the-rocks-road,"Moab, UT",#752,2.6 (7),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,679',"1,682'",3%,12%,"5,539'","4,524'",Leashed,Allowed
Boy Scout Loop,"0.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7012530/boy-scout-loop,"Hurricane, UT",#753,2.8 (4),,,,,79',89',5%,13%,"3,137'","3,053'",Unknown,Unknown
Chop'd Coyote,"4.8
    mi",EASY,https://www.mtbproject.com/trail/7026677/chopd-coyote,"Heber, UT",#754,2.8 (4),Wasatch Trails Alliance,https://www.mtbproject.com/club/7000063/wasatch-trails-alliance,,,"1,167'",90',5%,14%,"7,350'","6,273'",Unknown,Unknown
Landslide,"1.7
    mi",EASY,https://www.mtbproject.com/trail/7023909/landslide,"Ferron, UT",#755,2.8 (4),Utah State Parks,http://stateparks.utah.gov/,,,120',122',3%,7%,"5,150'","5,032'",No Dogs,Allowed
Grapevine,"1.0
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4332560/grapevine,"Washington, UT",#756,2.6 (5),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,193',0',4%,7%,"3,275'","3,083'",Unknown,Unknown
White Reef Trail,"1.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4581803/white-reef-trail,"Leeds, UT",#757,2.7 (3),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,265',6',3%,7%,"3,332'","3,067'",Unknown,Unknown
Wagonwheel Trail (168),"3.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7019142/wagonwheel-trail-168,"Monticello, UT",#758,2.7 (3),USFS - Manti-La Sal National Forest Office,http://www.fs.usda.gov/mantilasal,,,139',743',5%,24%,"8,743'","8,139'",Unknown,Unknown
Little Cottonwood Spring Trail,"4.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7009092/little-cottonwood-spring-trail,"Hyde Park, UT",#759,2.7 (3),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,267',"1,452'",7%,27%,"6,908'","5,513'",Unknown,Unknown
Goldfinger,"1.2
    mi",EASY,https://www.mtbproject.com/trail/7001712/goldfinger,"Snyderville, UT",#760,2.7 (3),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,404',0',6%,11%,"8,308'","7,904'",Unknown,Unknown
Barrel Trail,"0.4
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7047435/barrel-trail,"Santa Clara, UT",#761,2.7 (3),,,,,0',46',2%,4%,"2,985'","2,939'",Unknown,Unknown
Aqueduct Trail,"2.7
    mi",DIFFICULT,https://www.mtbproject.com/trail/7019182/aqueduct-trail,"Draper, UT",#762,2.5 (6),"City of Draper, UT - Parks and Trails",http://www.draper.ut.us/index.aspx?nid=116,,,200',269',3%,16%,"5,058'","4,857'",Unknown,Unknown
24-Hours of Moab,"10.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4632104/24-hours-of-moab,"Moab, UT",#763,2.4 (7),BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,,,873',972',3%,19%,"5,768'","5,176'",Leashed,Allowed
Gold Bar Rim Road,"3.8
    mi",DIFFICULT,https://www.mtbproject.com/trail/7014369/gold-bar-rim-road,"Moab, UT",#764,2.3 (9),BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,,,"1,077'",210',6%,23%,"5,455'","4,581'",Leashed,Allowed
Zion Curtain,"13.5
    mi",EASY,https://www.mtbproject.com/trail/7043006/zion-curtain,"Moab, UT",#765,2.5 (4),,,,,"1,338'","1,334'",4%,20%,"5,412'","4,502'",Leashed,Allowed
Red Butte Skyline Trail (Rough Riders),"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7020100/red-butte-skyline-trail-rough-riders,"Salt Lake City, UT",#766,2.5 (4),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,363',344',10%,28%,"5,508'","5,160'",Unknown,Allowed
Dalton Wells Road,"1.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/230382/dalton-wells-road,"Moab, UT",#767,2.5 (2),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,State of Utah School and Institutional Trust Lands Administration,https://trustlands.utah.gov/,57',24',1%,3%,"4,449'","4,398'",Leashed,Allowed
Spring Drive,"8.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7035851/spring-drive,"Toquerville, UT",#768,2.5 (2),BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,,,"1,667'",872',6%,18%,"4,344'","3,387'",Unknown,Unknown
Pack Creek Road,"5.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7032644/pack-creek-road,"Moab, UT",#769,2.5 (2),,,,,"1,743'",11',6%,14%,"7,462'","5,721'",Leashed,Not Allowed
Lockhart Canyon,"5.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4654304/lockhart-canyon,"Moab, UT",#770,2.5 (2),,,,,36',293',1%,6%,"4,201'","3,944'",No Dogs,Unknown
Timpanogos Path,"1.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7045002/timpanogos-path,"Orem, UT",#771,2.5 (2),,,,,640',17',8%,17%,"5,536'","4,913'",Unknown,Unknown
Flat Iron Mesa 4x4 Trail,"14.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7037096/flat-iron-mesa-4x4-trail,"Moab, UT",#772,2.5 (2),,,,,810',"1,373'",3%,18%,"5,930'","5,345'",Unknown,Allowed
FR 0071,"5.5
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7008447/fr-0071,"Moab, UT",#773,2.5 (2),USFS - Manti-La Sal National Forest,http://www.fs.usda.gov/main/mantilasal/home,,,60',"1,624'",6%,14%,"10,541'","8,975'",Leashed,Not Allowed
Round Valley Express,"2.6
    mi",EASY,https://www.mtbproject.com/trail/7001679/round-valley-express,"Snyderville, UT",#774,2.5 (2),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,338',127',3%,7%,"6,920'","6,582'",Off-leash,Unknown
Great Western Trail: Little Baldy,"4.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7044992/great-western-trail-little-baldy,"Pleasant Grove, UT",#775,3.0 (3),,,,,3',"2,430'",11%,18%,"7,985'","5,558'",Unknown,Unknown
Pipeline,"1.2
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/5912763/pipeline,"Park City, UT",#776,2.5 (2),,,,,16',395',6%,17%,"7,435'","7,056'",Unknown,Unknown
Canyon Gateway Trail,"0.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7002455/canyon-gateway-trail,"North Logan, UT",#777,2.5 (2),,,,,82',53',3%,6%,"4,753'","4,689'",Unknown,Unknown
Gambel Oak,"1.0
    mi",EASY,https://www.mtbproject.com/trail/7001706/gambel-oak,"Park City, UT",#778,2.5 (2),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Park City Municipal,http://parkcity.org/,302',26',7%,11%,"7,538'","7,236'",Unknown,Unknown
Anasazi,"0.5
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7037419/anasazi,"Leeds, UT",#779,2.5 (2),,,,,92',33',5%,15%,"3,267'","3,180'",Off-leash,Unknown
White Pine Basin,"2.3
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7017402/white-pine-basin,"Wolf Creek, UT",#780,2.5 (2),Powder Mountain Ski Resort,http://www.powdermountain.com/,,,301',276',5%,13%,"8,666'","8,373'",Unknown,Unknown
Valderoad,"1.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/7004225/valderoad,"Snyderville, UT",#781,2.5 (2),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Park City Municipal,http://parkcity.org/,150',112',4%,14%,"6,939'","6,799'",Leashed,Unknown
Outlook,"0.5
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/5911677/outlook,"Park City, UT",#782,2.5 (2),,,,,83',31',4%,10%,"7,711'","7,629'",Unknown,Unknown
Zephyr,"4.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7021380/zephyr,"Moab, UT",#783,2.1 (7),National Park Service - Arches National Park,http://www.nps.gov/arch/index.htm,,,104',216',1%,6%,"4,498'","4,291'",Leashed,Not Allowed
Poison Spider Mesa Jeep Road,"9.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/7036704/poison-spider-mesa-jeep-road,"Moab, UT",#784,2.3 (3),,,,,"1,098'",467',3%,16%,"4,862'","4,018'",Leashed,Allowed
Cove Wash West,"4.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7032499/cove-wash-west,"Santa Clara, UT",#785,2.3 (3),,,,,601',84',3%,14%,"3,651'","3,052'",Unknown,Unknown
Virgin River Rim Trail: Te-Ah Campground to Woods Ranch,"10.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7021965/virgin-river-rim-trail-te-ah-campground-to-woods-ranch,"Parowan, UT",#786,2.3 (3),USFS - Dixie National Forest Office,http://www.fs.usda.gov/dixie,,,650',"1,609'",4%,10%,"9,408'","8,212'",Unknown,Unknown
Prospector (Low),"0.9
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7014257/prospector-low,"Moab, UT",#787,2.3 (3),,,,,107',87',4%,18%,"4,112'","4,035'",Leashed,Not Allowed
Baby Steps Loop 4x4,"5.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/183299/baby-steps-loop-4x4,"Moab, UT",#788,2.3 (3),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,688',432',4%,17%,"5,244'","4,925'",Leashed,Allowed
South Canyon,"6.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7015426/south-canyon,"Snyderville, UT",#789,2.3 (3),Basin Recreation,http://basinrecreation.org/,,,504',573',3%,10%,"6,903'","6,498'",Unknown,Unknown
Soldier Hollow Loop,"8.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7024049/soldier-hollow-loop,"Midway, UT",#790,2.2 (5),Utah State Parks,http://stateparks.utah.gov/,,,"1,148'","1,154'",5%,18%,"6,126'","5,539'",Unknown,Allowed
Steps,"1.0
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/3720019/steps,"Park City, UT",#791,2.3 (3),,,,,67',427',9%,30%,"8,719'","8,326'",Unknown,Unknown
Bear Trap Pass,"1.4
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7043930/bear-trap-pass,"Tooele, UT",#792,2.3 (3),,,,,15',914',13%,24%,"7,009'","6,110'",Leashed,Unknown
Queen Bess (Connector),"0.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7004991/queen-bess-connector,"Alta, UT",#793,2.3 (3),,,,,256',31',8%,14%,"8,287'","8,030'",No Dogs,Unknown
Logan Dry Canyon Trail #16,"4.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7010095/logan-dry-canyon-trail-16,"River Heights, UT",#794,2.3 (4),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"3,260'",64',13%,32%,"8,352'","5,156'",Off-leash,Unknown
Raptor Road,"2.4
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7004988/raptor-road,"Alta, UT",#795,2.0 (8),,,,,721',47',6%,18%,"8,780'","8,106'",No Dogs,Unknown
Willow Springs (Arches Loop),"1.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/229216/willow-springs-arches-loop,"Moab, UT",#796,2.3 (4),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,State of Utah School and Institutional Trust Lands Administration,https://trustlands.utah.gov/,254',2',3%,8%,"4,609'","4,355'",Leashed,Allowed
Aspen Flat Trail (018),"5.5
    mi",DIFFICULT,https://www.mtbproject.com/trail/7019044/aspen-flat-trail-018,"Monticello, UT",#797,2.0 (3),,,,,"1,552'",730',8%,32%,"9,460'","8,455'",Leashed,Not Allowed
Lower Tushar Ridge (PST 27),"3.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7019955/lower-tushar-ridge-pst-27,"Junction, UT",#798,2.0 (3),USFS - Fishlake National Forest Office,http://www.fs.usda.gov/fishlake,,,1',855',5%,13%,"9,673'","8,818'",Off-leash,Unknown
Sid's (Swasey's) Leap,"13.2
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7036368/sids-swaseys-leap,"Ferron, UT",#799,2.0 (2),,,,,124',"1,597'",2%,9%,"6,514'","5,009'",No Dogs,Unknown
Rusty Nail,"1.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/220916/rusty-nail,"Moab, UT",#800,2.0 (2),BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,,,576',186',7%,29%,"5,132'","4,556'",Leashed,Unknown
7-Up Access,"1.3
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7026094/7-up-access,"Moab, UT",#801,2.0 (2),Moab Mountain Bike Association,https://www.mtbproject.com/club/4701191/moab-mountain-bike-association,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,97',106',3%,6%,"5,165'","5,065'",Leashed,Unknown
Baby Steps Loop,"2.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/220553/baby-steps-loop,"Moab, UT",#802,2.0 (2),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,31',342',3%,8%,"4,945'","4,604'",Leashed,Allowed
Adobe,"1.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/6411463/adobe,"Moab, UT",#803,2.0 (2),,,,,153',197',4%,13%,"4,531'","4,398'",Leashed,Not Allowed
Ridge Trail,"2.1
    mi",EASY,https://www.mtbproject.com/trail/7043934/ridge-trail,"Tooele, UT",#804,2.0 (2),,,,,957',191',11%,46%,"7,211'","6,254'",Leashed,Unknown
Left Hand Fork Trail,"0.6
    mi",DIFFICULT,https://www.mtbproject.com/trail/7043931/left-hand-fork-trail,"Tooele, UT",#805,2.0 (2),,,,,273',0',8%,13%,"5,742'","5,469'",Leashed,Unknown
Wagon Wheel To FR0087,"0.9
    mi",EASY,https://www.mtbproject.com/trail/7019141/wagon-wheel-to-fr0087,"Monticello, UT",#806,2.0 (2),USFS - Manti-La Sal National Forest Office,http://www.fs.usda.gov/mantilasal,,,462',0',9%,18%,"8,981'","8,519'",Leashed,Not Allowed
Jeremy Ranch Road,"7.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7043764/jeremy-ranch-road,"Summit Park, UT",#807,2.0 (1),Basin Recreation,http://basinrecreation.org/,,,158',567',2%,5%,"6,224'","5,801'",Unknown,Unknown
Golden Spike Jeep Road,"6.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7014371/golden-spike-jeep-road,"Moab, UT",#808,1.7 (7),BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,,,548',"1,347'",5%,19%,"5,419'","4,590'",Leashed,Allowed
Casto Canyon Trail #33089,"5.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7041959/casto-canyon-trail-33089,"Panguitch, UT",#809,2.0 (1),USFS - Dixie National Forest Office,http://www.fs.usda.gov/dixie,,,779',0',3%,6%,"7,858'","7,079'",Unknown,Unknown
Avon Liberty Road,"4.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7004620/avon-liberty-road,"Liberty, UT",#810,2.0 (1),"Weber County Government, Ogden, UT - Parks",http://www.co.weber.ut.us/parks/,,,"1,061'",215',6%,11%,"6,484'","5,428'",Off-leash,Unknown
White Crack,"1.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7047297/white-crack,"Moab, UT",#811,2.0 (1),,,,,90',17',1%,4%,"5,221'","5,140'",No Dogs,Unknown
Taylor Canyon Road,"5.2
    mi",EASY,https://www.mtbproject.com/trail/7047306/taylor-canyon-road,"Moab, UT",#812,2.0 (1),,,,,259',45',1%,4%,"4,224'","3,979'",No Dogs,Unknown
Albion Basin Summer Road,"2.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7026023/albion-basin-summer-road,"Alta, UT",#813,2.0 (1),Alta Ski Area,http://www.alta.com/,,,796',4',5%,11%,"9,550'","8,758'",No Dogs,Unknown
Jackass Benches,"4.9
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7036365/jackass-benches,"Ferron, UT",#814,2.0 (1),,,,,84',521',2%,5%,"6,094'","5,593'",Unknown,Unknown
Gravel Road,"0.8
    mi",EASY,https://www.mtbproject.com/trail/3727002/gravel-road,"Park City, UT",#815,2.0 (1),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,22',112',3%,12%,"8,797'","8,707'",Unknown,Unknown
